Cell_ID,Experiment_ID,Expression_Count
CL0000066,11,73
CL0000115,33,1600
CL0000115,34,1600
CL0000115,35,1600
CL0000057,61,441
CL0000985,61,175
CL0000682,61,99
CL0000787,61,87
CL0002250,61,340
CL0000164,61,59
CL0002543,61,84
CL0000125,61,141
CL0009010,61,294
CL0019032,61,33
CL0000057,62,441
CL0000985,62,175
CL0000682,62,99
CL0000787,62,87
CL0002250,62,340
CL0000164,62,59
CL0002543,62,84
CL0000125,62,141
CL0009010,62,294
CL0019032,62,33
CL0000164,69,336
CL0000003,69,399
CL0002543,78,213
CL0002543,79,213
CL0002543,80,213
CL0002543,81,213
CL0002138,92,1510
CL0000057,2,125
CL0000669,10,197
CL0000115,10,565
CL0000057,10,357
CL0000669,17,90
CL0000057,17,285
CL0000115,17,67
CL0000669,20,190
CL0000644,20,158
CL0000057,20,589
CL0000115,20,208
CL1001106,33,2778
CL1001106,34,2778
CL1001106,35,2778
CL0000359,36,1303
CL0000669,41,114
CL0000115,41,94
CL0000057,41,653
CL0000065,41,41
CL0000127,63,903
CL0000669,84,32
CL0000057,84,130
CL0000115,84,32
CL0002453,14,101
CL0000233,4,197
CL0000909,93,1045
CL0000972,93,204
CL0000898,93,748
CL0000982,93,52
CL0000984,93,53
CL0000232,93,120
CL0000233,5,197
CL0000909,94,1045
CL0000972,94,204
CL0000898,94,748
CL0000982,94,52
CL0000984,94,53
CL0000232,94,120
CL0000233,74,4
CL0000001,58,10
CL0000077,11,472
CL0002088,11,175
CL0002543,11,476
CL0000624,19,217
CL0002306,35,2803
CL1001107,35,2175
CL0000738,35,1662
CL0000653,35,221
CL1001111,35,584
CL1000500,35,1162
CL1001431,35,2653
CL1001432,35,1762
CL1000849,35,1542
CL1000768,35,1535
CL0002306,33,2803
CL1001107,33,2175
CL0000738,33,1662
CL0000653,33,221
CL1001111,33,584
CL1000500,33,1162
CL1001431,33,2653
CL1001432,33,1762
CL1000849,33,1542
CL1000768,33,1535
CL0002306,34,2803
CL1001107,34,2175
CL0000738,34,1662
CL0000653,34,221
CL1001111,34,584
CL1000500,34,1162
CL1001431,34,2653
CL1001432,34,1762
CL1000849,34,1542
CL1000768,34,1535
CL0000786,38,328
CL0000625,38,1363
CL0000624,38,676
CL0000236,38,662
CL0000057,52,174
CL0000584,52,129
CL0002504,52,89
CL0000235,53,1527
CL0000037,55,550
CL0000115,55,2539
CL0000232,55,275
CL0000233,55,106
CL0000236,61,322
CL0000987,61,168
CL0000236,62,322
CL0000987,62,168
CL0000556,65,24
CL0001065,65,182
CL0000936,65,216
CL0000077,69,394
CL0002088,69,79
CL0000192,69,434
CL0000784,68,277
CL0000817,68,1422
CL0000559,68,657
CL0002355,68,820
CL0000556,68,336
CL0000232,68,267
CL0000557,68,272
CL0005006,70,99
CL0005006,71,99
CL0005006,72,99
CL0005006,73,99
CL1000487,99,555
CL0000359,99,468
CL1000487,100,555
CL0000359,100,468
CL0002063,116,220
CL0000646,116,324
CL0000158,116,108
CL1000272,116,100
CL0000623,4,359
CL0000623,5,359
CL0000669,11,301
CL0000814,55,3816
CL0000182,57,25
CL0019029,57,25
CL0019028,57,25
CL0019026,57,25
CL0000625,70,239
CL0000625,71,239
CL0000625,72,239
CL0000625,73,239
CL0000897,55,3178
CL0000625,92,2575
CL1000320,53,217
CL0000878,2,458
CL0000878,17,1086
CL0000738,20,382
CL1000452,33,356
CL1000452,34,356
CL1000452,35,356
CL0000624,53,216
CL0000625,53,852
CL0000786,53,836
CL0000084,53,398
CL0000236,53,974
CL0000775,53,591
CL0001065,55,466
CL0000625,55,272
CL0000788,55,2210
CL0000900,55,1674
CL0000895,55,2955
CL0000815,55,1702
CL0000921,55,2492
CL0000624,92,1740
CL1000413,92,509
CL0000388,92,1297
CL0000540,63,4831
CL0000814,92,1212
CL0000669,61,29
CL0000669,62,29
CL0000738,17,160
CL0000192,53,603
CL0000097,53,277
CL0002320,53,581
CL0000784,55,73
CL0002399,55,209
CL0002393,55,278
CL0002394,55,353
CL0000878,84,522
CL0000192,92,446
CL0000097,92,564
CL0000084,92,1077
CL1000692,2,86
CL0000115,43,6
CL0000738,10,133
CL0000738,41,46
CL0000115,63,72
CL0000065,84,287
CL0000878,27,410
CL0008019,39,222
CL0000057,39,100
CL0000499,69,234
CL0002138,89,199
CL0000669,99,665
CL1000305,99,689
CL0000669,100,665
CL1000305,100,689
CL0000794,31,125
CL0000138,39,56
CL0000138,69,91
CL0000092,68,135
CL0000784,4,136
CL0000789,4,219
CL0000236,4,520
CL0000763,6,288
CL0000814,6,989
CL0000818,15,345
CL0000798,93,62
CL0000775,93,43
CL0000094,93,103
CL0001050,93,154
CL0000990,93,54
CL0000784,5,136
CL0000789,5,219
CL0000236,5,520
CL0000818,16,345
CL0000798,94,62
CL0000775,94,43
CL0000094,94,103
CL0001050,94,154
CL0000990,94,54
CL0000763,74,388
CL0000814,74,83
CL0000814,19,94
CL0000451,19,50
CL0000623,19,178
CL0000860,19,70
CL0000623,38,321
CL0000235,38,667
CL0000784,61,5
CL0000576,61,58
CL0000990,61,54
CL0000784,62,5
CL0000576,62,58
CL0000990,62,54
CL0000049,65,115
CL0000451,68,370
CL0000936,68,483
CL0001054,68,862
CL0000097,68,107
CL0000836,68,182
CL0000837,68,150
CL0011026,68,412
CL0000775,68,223
CL0000049,68,309
CL0000784,70,3
CL0000235,70,164
CL0000784,71,3
CL0000235,71,164
CL0000784,72,3
CL0000235,72,164
CL0000784,73,3
CL0000235,73,164
CL0000576,89,186
CL0000814,89,132
CL0002397,89,472
CL0000623,89,311
CL0000794,89,444
CL0000235,2,7
CL0001065,31,17
CL0000623,31,12
CL0000798,61,64
CL0000798,62,64
CL1000330,53,473
CL0000984,15,117
CL0000576,93,151
CL0000984,16,117
CL0000576,94,151
CL0000738,27,5
CL0000127,27,336
CL0000359,17,24
CL0000359,20,17
CL0000065,20,121
CL0000809,53,6
CL0000624,68,39
CL0000235,68,65
CL0000788,68,193
CL0000816,68,319
CL0002045,68,513
CL0000826,68,393
CL0002262,68,22
CL0000115,47,36
CL0000131,52,24
CL0002088,52,25
CL0000814,32,275
CL0000548,9,729
CL0000814,9,899
CL0000980,4,159
CL0000786,6,197
CL0000548,6,133
CL0000980,5,159
CL0000066,9,752
CL0000097,74,57
CL0000236,74,161
CL0000625,19,94
CL0000492,31,81
CL0000907,31,67
CL0000904,31,145
CL0000815,31,78
CL0000084,31,85
CL0009113,31,55
CL0000896,89,131
CL0000934,89,295
CL0000084,38,584
CL0001078,38,88
CL0000738,63,16
CL0000624,61,114
CL0000625,61,46
CL0000624,62,114
CL0000625,62,46
CL0002045,65,108
CL0001069,65,110
CL0000557,65,67
CL0000771,68,60
CL0000938,68,73
CL0000863,70,41
CL0000794,70,27
CL0000084,70,63
CL0000863,71,41
CL0000794,71,27
CL0000084,71,63
CL0000863,72,41
CL0000794,72,27
CL0000084,72,63
CL0000863,73,41
CL0000794,73,27
CL0000084,73,63
CL1000413,78,84
CL1000413,79,84
CL1000413,80,84
CL1000413,81,84
CL1000223,116,64
CL0002138,11,50
CL0000787,15,244
CL0000787,16,244
CL0000775,74,9
CL0000875,19,51
CL0000128,63,1237
CL0000763,61,26
CL0000763,62,26
CL0000451,70,16
CL0000451,71,16
CL0000451,72,16
CL0000451,73,16
CL0000236,89,227
CL0000451,89,239
CL0000906,89,354
CL0000878,82,42
CL0000236,6,77
CL0000548,32,96
CL0002553,58,25
CL0000236,32,124
CL0002453,64,84
CL0000057,43,36
CL0000669,43,16
CL1000850,2,20
CL0009016,52,28
CL0011026,52,5
CL0008015,52,17
CL0000186,52,20
CL0000100,52,6
CL0000763,32,84
CL0000624,93,28
CL0000624,94,28
CL0001043,61,45
CL0001043,62,45
CL0000127,82,65
CL0000057,82,99
CL0000186,61,30
CL1000413,61,62
CL0000786,61,21
CL0002038,61,30
CL0002138,61,38
CL0001056,61,8
CL0000815,61,25
CL0000186,62,30
CL1000413,62,62
CL0000786,62,21
CL0002038,62,30
CL0002138,62,38
CL0001056,62,8
CL0000815,62,25
CL0002144,78,63
CL0002144,79,63
CL0002144,80,63
CL0002144,81,63
CL0000878,14,35
CL0000540,44,611
CL0000767,68,9
CL0000077,52,2
CL0000677,52,8
CL0009011,52,3
CL0009017,52,2
CL0019031,52,2
CL0000128,27,169
CL0000236,19,67
CL0000097,89,245
CL0000077,89,211
CL0000359,63,18
CL0000125,52,3
CL0000540,18,684
CL0002453,43,225
CL0000648,2,9
CL0000233,93,55
CL0000233,94,55
CL1001106,47,2
CL1001432,47,3
CL0000548,74,106
CL0002453,27,302
CL0000077,92,40
CL0000127,64,66
CL0000738,118,2
CL0000738,84,5
CL0000057,27,21
CL0005006,53,31
CL0000669,2,46
CL0000738,43,3
CL0000128,82,200
CL0002453,82,5
CL0000128,43,97
CL0000065,82,90
CL0000878,43,110
CL0000784,19,7
CL0000540,27,27
CL0000784,93,24
CL0000784,94,24
CL0000775,19,3
CL1000698,19,3
CL0000097,61,4
CL0000097,62,4
CL0000669,63,35
CL0000644,17,22
CL0000164,70,23
CL0000164,71,23
CL0000164,72,23
CL0000164,73,23
CL0000232,92,6
CL0000065,17,9
CL0000236,9,25
CL0000097,9,7
CL0000115,27,7
CL0000127,14,170
CL0000128,118,11
CL0000786,32,2
CL0000128,64,35
CL0000359,2,1
CL0000669,25,2
CL1000692,25,1
CL1000692,47,2
CL1001431,47,2
CL0000451,6,3
CL0000115,26,103
CL0000057,14,4
CL0000669,118,1
CL0000540,64,1
CL0000128,14,17
CL1000838,26,53
CL0000738,64,5
CL0000359,10,4
CL0000359,41,6
CL0000127,118,21
CL0000650,2,2
CL0000115,110,16
CL0000704,68,5
CL0000878,118,8
CL0002453,118,12
CL0000057,118,1
CL0000097,19,5
CL0000540,43,9
CL0000878,64,17
CL1001432,26,1
CL0000775,9,1
CL0000232,9,1
CL0005006,74,4
CL0000669,64,2
CL0000540,14,1
CL0000115,25,3
CL0000057,89,9
CL0002131,89,8
CL0000738,26,5
CL0000738,25,1
CL0000233,6,4
CL0000669,82,1
CL1000849,26,1
CL0000653,26,1
CL0000738,110,1
CL0000540,118,1
CL1001106,26,1
CL0019018,26,1
CL0000359,27,1
CL0000236,70,3
CL0000236,71,3
CL0000236,72,3
CL0000236,73,3
CL0000057,64,2
